entity,classes
$_(film),"{'http://schema.org/Movie', 'http://dbpedia.org/ontology/Film', 'http://www.wikidata.org/entity/Q11424'}"
&ME,"{'http://schema.org/Movie', 'http://dbpedia.org/ontology/Film', 'http://www.wikidata.org/entity/Q11424'}"
'Cause_I'm_a_Man,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(Ain't_Nobody_Loves_You)_Like_I_Do,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(Can't_Get_My)_Head_Around_You,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(Come_'Round_Here)_I'm_the_One_You_Need,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(I_Can't_Help_You)_I'm_Falling_Too,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(I_Don't_Need_You_To)_Set_Me_Free,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(I_Know)_I'm_Losing_You,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(Sweet_Sweet_Baby)_Since_You've_Been_Gone,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(Turn_Out_the_Light_And)_Love_Me_Tonight,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
(You_Can_Still)_Rock_in_America,"{'http://dbpedia.org/ontology/Single', 'http://dbpedia.org/ontology/Song', 'http://www.wikidata.org/entity/Q134556'}"
.NET_Framework,"{'http://dbpedia.org/ontology/ProgrammingLanguage', 'http://dbpedia.org/ontology/Software', 'http://www.wikidata.org/entity/Q7397', 'http://www.wikidata.org/entity/Q9143'}"
